sample_name,drip_doc_d13C_1,drip_doc_d13C_2,drip_doc_ppm_1,drip_doc_ppm_2,drip_dic_mM,drip_dic_d13C
L490-20190807-B-05,,,,,0.81,-8.13
L490-20180729-C-08,-29.0832327,-29.65656531,9.662554209,9.917958746,0.476,-4.945
L490-20180729-D-69,-32.39155447,-32.67156706,18.21755799,18.12786404,0.247,-7.524
L490-20180729-G-06,,,,,0.84,-6.2
L490-20190807-B-07,-45.30462692,-45.44056585,48.30949754,49.68803156,0.31,-7.24
L480-20190805-B-10.1,-31.19991877,-30.75384822,7.947239203,8.088720258,0.33,-3.27
V460-20180730-A-07,-28.8053308,-28.5770796,5.009756846,5.08438055,,
V460-20180730-C-54,,,,,0.32,-8.42
V460-20180731-H-08,,,,,0.65,-7.37
V460-20180731-J-01,-26.18588989,-26.29165552,22.8827513,23.69969869,0.548,-6.248
L820-20180802-A-07,,,,,1.06,-6.77
L820-20180802-B-03,-31.6429495,-31.47513733,8.242544574,8.517615492,,
L300-20180802-A-01,-28.74325927,-28.74946659,6.959058169,7.128318466,0.9,-3.98
L300-20180802-A-02,-29.03035863,-28.17520572,6.136671885,6.357358813,0.761,-2.513
