ipl,core_lipid,carbon_number,methanol_C_count,ipl_class,fame,branch_position,pi_number,conformation,omega,ID_no,fraction
n-C10:0.glycolipids,n-C10:0,10,1,normal,Y,NA,NA,NA,NA,1,glycolipids
n-C10:0.residual_polar_lipids,n-C10:0,10,1,normal,Y,NA,NA,NA,NA,1,residual_polar_lipids
n-C10:0.phospholipids,n-C10:0,10,1,normal,Y,NA,NA,NA,NA,1,phospholipids
n-C12:0.glycolipids,n-C12:0,12,1,normal,Y,NA,NA,NA,NA,2,glycolipids
n-C12:0.residual_polar_lipids,n-C12:0,12,1,normal,Y,NA,NA,NA,NA,2,residual_polar_lipids
n-C12:0.phospholipids,n-C12:0,12,1,normal,Y,NA,NA,NA,NA,2,phospholipids
"Nonanedioic acid, monomethyl ester_1.glycolipids","Nonanedioic acid, monomethyl ester_1",9,2,diacid,Y,NA,NA,NA,NA,3,glycolipids
"Nonanedioic acid, monomethyl ester_1.residual_polar_lipids","Nonanedioic acid, monomethyl ester_1",9,2,diacid,Y,NA,NA,NA,NA,3,residual_polar_lipids
"Nonanedioic acid, monomethyl ester_1.phospholipids","Nonanedioic acid, monomethyl ester_1",9,2,diacid,Y,NA,NA,NA,NA,3,phospholipids
"Nonanedioic acid, monomethyl ester_2.glycolipids","Nonanedioic acid, monomethyl ester_2",9,2,diacid,Y,NA,NA,NA,NA,4,glycolipids
"Nonanedioic acid, monomethyl ester_2.residual_polar_lipids","Nonanedioic acid, monomethyl ester_2",9,2,diacid,Y,NA,NA,NA,NA,4,residual_polar_lipids
"Nonanedioic acid, monomethyl ester_2.phospholipids","Nonanedioic acid, monomethyl ester_2",9,2,diacid,Y,NA,NA,NA,NA,4,phospholipids
i-C13:0.glycolipids,i-C13:0,13,1,branched,Y,iso,NA,NA,NA,5,glycolipids
i-C13:0.residual_polar_lipids,i-C13:0,13,1,branched,Y,iso,NA,NA,NA,5,residual_polar_lipids
i-C13:0.phospholipids,i-C13:0,13,1,branched,Y,iso,NA,NA,NA,5,phospholipids
ai-C13:0.glycolipids,ai-C13:0,13,1,branched,Y,anteiso,NA,NA,NA,6,glycolipids
ai-C13:0.residual_polar_lipids,ai-C13:0,13,1,branched,Y,anteiso,NA,NA,NA,6,residual_polar_lipids
ai-C13:0.phospholipids,ai-C13:0,13,1,branched,Y,anteiso,NA,NA,NA,6,phospholipids
C8-diacid.glycolipids,C8-diacid,8,2,diacid,Y,NA,NA,NA,NA,7,glycolipids
C8-diacid.residual_polar_lipids,C8-diacid,8,2,diacid,Y,NA,NA,NA,NA,7,residual_polar_lipids
C8-diacid.phospholipids,C8-diacid,8,2,diacid,Y,NA,NA,NA,NA,7,phospholipids
n-C13:0.glycolipids,n-C13:0,13,1,normal,Y,NA,NA,NA,NA,8,glycolipids
n-C13:0.residual_polar_lipids,n-C13:0,13,1,normal,Y,NA,NA,NA,NA,8,residual_polar_lipids
n-C13:0.phospholipids,n-C13:0,13,1,normal,Y,NA,NA,NA,NA,8,phospholipids
unknown1.glycolipids,unknown1,NA,1,other,N,NA,NA,NA,NA,9,glycolipids
unknown1.residual_polar_lipids,unknown1,NA,1,other,N,NA,NA,NA,NA,9,residual_polar_lipids
unknown1.phospholipids,unknown1,NA,1,other,N,NA,NA,NA,NA,9,phospholipids
i-C14:0.glycolipids,i-C14:0,14,1,branched,Y,iso,NA,NA,NA,10,glycolipids
i-C14:0.residual_polar_lipids,i-C14:0,14,1,branched,Y,iso,NA,NA,NA,10,residual_polar_lipids
i-C14:0.phospholipids,i-C14:0,14,1,branched,Y,iso,NA,NA,NA,10,phospholipids
C14:1.glycolipids,C14:1,14,1,unsaturated,Y,NA,1,unknown,NA,11,glycolipids
C14:1.residual_polar_lipids,C14:1,14,1,unsaturated,Y,NA,1,unknown,NA,11,residual_polar_lipids
C14:1.phospholipids,C14:1,14,1,unsaturated,Y,NA,1,unknown,NA,11,phospholipids
n-C14:0.glycolipids,n-C14:0,14,1,normal,Y,NA,NA,NA,NA,12,glycolipids
n-C14:0.residual_polar_lipids,n-C14:0,14,1,normal,Y,NA,NA,NA,NA,12,residual_polar_lipids
n-C14:0.phospholipids,n-C14:0,14,1,normal,Y,NA,NA,NA,NA,12,phospholipids
C13:1.glycolipids,C13:1,13,1,unsaturated,Y,NA,1,unknown,NA,13,glycolipids
C13:1.residual_polar_lipids,C13:1,13,1,unsaturated,Y,NA,1,unknown,NA,13,residual_polar_lipids
C13:1.phospholipids,C13:1,13,1,unsaturated,Y,NA,1,unknown,NA,13,phospholipids
m-C15:0_1.glycolipids,m-C15:0_1,15,1,branched,Y,mid,NA,NA,NA,14,glycolipids
m-C15:0_1.residual_polar_lipids,m-C15:0_1,15,1,branched,Y,mid,NA,NA,NA,14,residual_polar_lipids
m-C15:0_1.phospholipids,m-C15:0_1,15,1,branched,Y,mid,NA,NA,NA,14,phospholipids
C15:1_1.glycolipids,C15:1_1,15,1,unsaturated,Y,NA,NA,unknown,unknown,15,glycolipids
C15:1_1.residual_polar_lipids,C15:1_1,15,1,unsaturated,Y,NA,NA,unknown,unknown,15,residual_polar_lipids
C15:1_1.phospholipids,C15:1_1,15,1,unsaturated,Y,NA,NA,unknown,unknown,15,phospholipids
C15:1_2.glycolipids,C15:1_2,15,1,unsaturated,Y,NA,NA,unknown,unknown,16,glycolipids
C15:1_2.residual_polar_lipids,C15:1_2,15,1,unsaturated,Y,NA,NA,unknown,unknown,16,residual_polar_lipids
C15:1_2.phospholipids,C15:1_2,15,1,unsaturated,Y,NA,NA,unknown,unknown,16,phospholipids
m-C15:0_2.glycolipids,m-C15:0_2,15,1,branched,Y,mid,NA,NA,NA,17,glycolipids
m-C15:0_2.residual_polar_lipids,m-C15:0_2,15,1,branched,Y,mid,NA,NA,NA,17,residual_polar_lipids
m-C15:0_2.phospholipids,m-C15:0_2,15,1,branched,Y,mid,NA,NA,NA,17,phospholipids
i-C15:0.glycolipids,i-C15:0,15,1,branched,Y,iso,NA,NA,NA,18,glycolipids
i-C15:0.residual_polar_lipids,i-C15:0,15,1,branched,Y,iso,NA,NA,NA,18,residual_polar_lipids
i-C15:0.phospholipids,i-C15:0,15,1,branched,Y,iso,NA,NA,NA,18,phospholipids
ai-C15:0.glycolipids,ai-C15:0,15,1,branched,Y,anteiso,NA,NA,NA,19,glycolipids
ai-C15:0.residual_polar_lipids,ai-C15:0,15,1,branched,Y,anteiso,NA,NA,NA,19,residual_polar_lipids
ai-C15:0.phospholipids,ai-C15:0,15,1,branched,Y,anteiso,NA,NA,NA,19,phospholipids
diacid_unknown.glycolipids,diacid_unknown,NA,2,diacid,Y,NA,NA,NA,NA,20,glycolipids
diacid_unknown.residual_polar_lipids,diacid_unknown,NA,2,diacid,Y,NA,NA,NA,NA,20,residual_polar_lipids
diacid_unknown.phospholipids,diacid_unknown,NA,2,diacid,Y,NA,NA,NA,NA,20,phospholipids
C15:1_3.glycolipids,C15:1_3,15,1,unsaturated,N,NA,NA,unknown,unknown,21,glycolipids
C15:1_3.residual_polar_lipids,C15:1_3,15,1,unsaturated,N,NA,NA,unknown,unknown,21,residual_polar_lipids
C15:1_3.phospholipids,C15:1_3,15,1,unsaturated,N,NA,NA,unknown,unknown,21,phospholipids
C15:1_4.glycolipids,C15:1_4,15,1,unsaturated,Y,NA,1,unknown,NA,22,glycolipids
C15:1_4.residual_polar_lipids,C15:1_4,15,1,unsaturated,Y,NA,1,unknown,NA,22,residual_polar_lipids
C15:1_4.phospholipids,C15:1_4,15,1,unsaturated,Y,NA,1,unknown,NA,22,phospholipids
n-C15:0.glycolipids,n-C15:0,15,1,normal,Y,NA,NA,NA,NA,23,glycolipids
n-C15:0.residual_polar_lipids,n-C15:0,15,1,normal,Y,NA,NA,NA,NA,23,residual_polar_lipids
n-C15:0.phospholipids,n-C15:0,15,1,normal,Y,NA,NA,NA,NA,23,phospholipids
C12-diacid.glycolipids,C12-diacid,12,2,diacid,Y,NA,NA,NA,NA,24,glycolipids
C12-diacid.residual_polar_lipids,C12-diacid,12,2,diacid,Y,NA,NA,NA,NA,24,residual_polar_lipids
C12-diacid.phospholipids,C12-diacid,12,2,diacid,Y,NA,NA,NA,NA,24,phospholipids
