ID,d13C_vpdb_pred,sample_fraction_coded,Batch,ipl,avg_d13C_tank,avg_d13C_vpdb_pred,sd_d13C_vpdb_pred,model_rmse,se_reported,n,sample_name,ipl_fullname,ipl_ug_g_tle,fraction,frac_abbrev,cave,tn_pct,toc_pct,d15N_tn,d13C_toc,sample_color,sample_class,sample_class2,sample_location,field_season,sample_date,extraction_date,sample_g,tle_g,drip_doc_ppm_1,drip_doc_ppm_2,drip_doc_ppm_sd,drip_doc_ppm_avg,drip_doc_d13C_1,drip_doc_d13C_2,drip_doc_d13C_sd,drip_doc_d13C_avg,drip_dic_mM,drip_dic_d13C,sample_description,ug_g_tle
5,-37.806645898571894,L480-20171108-D-51-P2,A6_1,n-C14:0,-25.495,-38.53786634661468,1.034101874706636,0.08831820267716768,1.1224200773838036,19,L480-20171108-D-51,n-C14:0.glycolipids,65.48378038,glycolipids,P2,L480,NA,NA,NA,NA,yellow,cave biofilm,yellow biofilm,cave,2017,11/12/17,2017,23.4619,0.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow biofilm,65.48378038
8,-43.354937025154534,L480-20171108-D-51-P2,A6_1,i-C15:0,-31.053,-43.37540121516801,0.028940735060044864,0.08831820267716768,0.11725893773721255,22,L480-20171108-D-51,i-C15:0.glycolipids,58.56385091,glycolipids,P2,L480,NA,NA,NA,NA,yellow,cave biofilm,yellow biofilm,cave,2017,11/12/17,2017,23.4619,0.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow biofilm,58.56385091
12,-43.90697102893291,L480-20171108-D-51-P2,A6_1,C16:1 w7 (trans),-31.606,-43.912461421375546,0.007764587455129944,0.08831820267716768,0.09608279013229762,26,L480-20171108-D-51,C16:1 w7 (trans).glycolipids,520.1568758,glycolipids,P2,L480,NA,NA,NA,NA,yellow,cave biofilm,yellow biofilm,cave,2017,11/12/17,2017,23.4619,0.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow biofilm,520.1568758
13,-45.19471762002531,L480-20171108-D-51-P2,A6_1,i-C16:0,-32.896,-45.22316783540991,0.04023468044933985,0.08831820267716768,0.12855288312650753,31,L480-20171108-D-51,i-C16:0.glycolipids,516.3233986,glycolipids,P2,L480,NA,NA,NA,NA,yellow,cave biofilm,yellow biofilm,cave,2017,11/12/17,2017,23.4619,0.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow biofilm,516.3233986
16,-42.13906466240216,L480-20171108-D-51-P2,A6_1,C16:1 w7 (cis),-29.835,-42.23839085295542,0.14046844577926446,0.08831820267716768,0.22878664845643215,30,L480-20171108-D-51,C16:1 w7 (cis).glycolipids,504.3956773,glycolipids,P2,L480,NA,NA,NA,NA,yellow,cave biofilm,yellow biofilm,cave,2017,11/12/17,2017,23.4619,0.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow biofilm,504.3956773
18,-37.72878215120352,L480-20171108-D-51-P2,A6_1,n-C16:0,-25.417,-37.79416773392953,0.09246917787478963,0.08831820267716768,0.1807873805519573,39,L480-20171108-D-51,n-C16:0.glycolipids,157.0029796,glycolipids,P2,L480,NA,NA,NA,NA,yellow,cave biofilm,yellow biofilm,cave,2017,11/12/17,2017,23.4619,0.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow biofilm,157.0029796
20,-44.32324260140231,L480-20171108-D-51-P2,A6_1,10_14_DiMe_C17,-32.023,-44.206446980349746,0.16517395131832935,0.08831820267716768,0.253492153995497,16,L480-20171108-D-51,10_14_DiMe_C17.glycolipids,313.4690216,glycolipids,P2,L480,NA,NA,NA,NA,yellow,cave biofilm,yellow biofilm,cave,2017,11/12/17,2017,23.4619,0.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow biofilm,313.4690216
24,-43.77021034445255,L480-20171108-D-51-P2,A6_1,C17:1 w8 (trans),-31.469,-43.67637454634194,0.13270385832412948,0.08831820267716768,0.22102206100129718,17,L480-20171108-D-51,C17:1 w8 (trans).glycolipids,253.865969,glycolipids,P2,L480,NA,NA,NA,NA,yellow,cave biofilm,yellow biofilm,cave,2017,11/12/17,2017,23.4619,0.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow biofilm,253.865969
28,-44.15952908129444,L480-20171108-D-51-P2,A6_1,i-C17:0,-31.859,-44.391123817056794,0.32752441628933365,0.08831820267716768,0.4158426189665013,10,L480-20171108-D-51,i-C17:0.glycolipids,14.45983258,glycolipids,P2,L480,NA,NA,NA,NA,yellow,cave biofilm,yellow biofilm,cave,2017,11/12/17,2017,23.4619,0.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow biofilm,14.45983258
29,-42.59826112124132,L480-20171108-D-51-P2,A6_1,ai-C17:0,-30.295,-42.438041487233306,0.22658477937258412,0.08831820267716768,0.3149029820497518,10,L480-20171108-D-51,ai-C17:0.glycolipids,19.16361868,glycolipids,P2,L480,NA,NA,NA,NA,yellow,cave biofilm,yellow biofilm,cave,2017,11/12/17,2017,23.4619,0.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow biofilm,19.16361868
