sample,batch,"Nonanedioic acid, monomethylester_1","Nonanedioic acid, monomethylester_2",n-C12:0,i-C14:0,n-C14:0,m-C15:0_1,m-C15:0_2,i-C15:0,ai-C15:0,n-C15:0,m-C16:0_1,C16:1 w7 (trans),i-C16:0,C16:2,C16:1 w7 (c) + C16:1 w9,C16:1 w7 (cis),C16:1 w5,n-C16:0,diacid_unknown1,10_14_DiMe_C17,C17:1 w8 (t) + 12Me-C17:0,10Me_C17:0,m-C17:0 eh,C17:1 w8 (trans),C17:1 w8 (cis),C17_cyclic,m-C17:0_2,i-C17:0,ai-C17:0,i-C18:0,ai-C18:0,m-C18:0_1,m-C18:0_2,C18:1 w9,C18:2_1,C18:2_2,C18:1 w7,unknown2,C18:1_1,n-C18:0,i-C19:0,m-C19:0_1 + i-C19:0,m-C19:0,C19:1_3,m-C20:0_1,n-C19:0 + m-C20:0_3,m-C20:0_3,diacid_unknown3,C16-diacid,C20:1_1,n-C20:0,m-C22:0-C2,m-C23:0-C2,n-C21:0,m-C23:0-C2 + n-C21:0,C18-diacid,n-C22:0,n-C23:0,C20-diacid,m-C27:0-C2,n-C24:0,n-C25:0,diacid_unknown7,C22-diacid,n-C26:0,sterol6,n-C28:0
CRI-20180731-A-01-P2,2,,,,,-21.257,,,,,,,,,,,-25.625,,-23.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI-20180731-A-01-P2,2,,,,,-21.52,,,,,,,,,,,-25.283,,-22.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI-20180731-B-01-P2,2,,,,,,,,,,,,-30.3,-30.809,,,-26.002,,-24.055,,-29.821,,,,-28.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI-20180731-B-01-P2,2,,,,,,,,,,,,-30.224,-30.367,,,-26.216,,-24.125,,-29.934,,,,-29.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOL-20180729-B-01-P2,2,,,,,-27.042,,,-32.431,,,,-32.445,-33.173,,,-28.459,,-24.268,,-32.248,,,,-32.232,,,,,,-35.094,,,,,,,-17.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOL-20180729-B-01-P2,2,,,,,-26.975,,,-32.424,,,,-32.558,-33.368,,,-28.323,,-23.639,,-32.205,,,,-32.43,,,,,,-35.685,,,,,,,-17.693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOL-20180729-C-08-P2,2,,,,,,,,,,,,,,,,,,-25.435,,,,,,,,,,,,,,,,,,,,,-13.23,-15.369,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOL-20180729-C-08-P2,2,,,,,,,,,,,,,,,,-21.371,,-21.502,,,,,,,,,,,,,,,,,,-15.40845035,,,-13.878,-15.641,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOL-20180729-G-11-P2,2,,,,,-27.053,,,-31.255,,,,-32.884,-33.435,,,-28.729,,-23.763,,-32.42,,,,-32.158,,,,,,-35.183,,,,,,,-17.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOL-20180729-G-11-P2,2,,,,,-26.097,,,-31.046,,,,-32.792,-33.381,,,-28.626,,-23.823,,-32.537,,,,-32.393,,,,,,-34.375,,,,,,,-17.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
