Analysis,ID,Batch,Date,Time,CO2_pulse1,CO2-ref_1,CO2_pulse2,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,CO2_pulse3,CO2-ref_2,CO2_pulse4,C16_i45,C17_i45,C18_i45,C19_i45,C20_i45,C21_i45,C22_i45,C23_i45,C24_i45,C25_i45,C26_i45,C27_i45,C28_i45,C29_i45,C30_i45
23849,A7_2_tank1,A7_2,8/6/20,12:55:44,0.21,0,0.03,-15.58,-21.26,-22.07,-21.49,-30.29,-18.23,-23.71,-22.82,-21.52,-17.95,-22.47,-19.94,-22.72,-18.55,-19.37,0.08,0,-0.06,10037,10570,10400,10355,10128,10138,9912,9445,8854,8370,7803,7281,6830,6458,6032
23850,A7_2_tank2,A7_2,8/6/20,14:01:56,0.18,0,0.02,-15.5,-21.28,-22.02,-21.42,-30.37,-18.26,-23.76,-22.85,-21.66,-18.02,-22.4,-20.07,-22.68,-18.65,-19.45,0.11,0,-0.06,9942,10539,10406,10416,10195,10112,10094,9449,8973,8402,7745,7321,6948,6554,6087
23851,A7_2_tank3,A7_2,8/6/20,15:12:24,0.2,0,0,-15.5,-21.24,-21.92,-21.37,-30.26,-18.24,-23.79,-22.81,-21.57,-17.93,-22.36,-19.99,-22.74,-18.65,-19.43,0.06,0,-0.07,10058,10583,10401,10399,10190,10225,9944,9506,8994,8474,7762,7369,6960,6566,6085
23853,A7_2_tank4,A7_2,8/7/20,10:28:12,0.5,0,0.23,-15.31,-21.02,-21.97,-21.24,-30.19,-18.12,-23.61,-22.7,-21.46,-17.85,-22.31,-20,-22.68,-18.58,-19.29,0.1,0,-0.03,11298,11886,11655,11591,11328,11261,10916,10326,9766,9074,8318,7904,7415,6905,6464
23864,A7_2_tank5,A7_2,8/10/20,12:54:38,0.2,0,-0.01,-15.47,-21.18,-22.05,-21.44,-30.37,-18.22,-23.72,-22.83,-21.59,-17.89,-22.4,-19.97,-22.54,-18.53,-19.22,0.12,0,-0.02,11610,12179,11854,11828,11522,11413,11236,10424,9971,9248,8645,8364,7705,7178,6598
23868,A7_2_tank6,A7_2,8/11/20,10:33:44,0.22,0,0.04,-15.27,-21.17,-21.91,-21.26,-30.26,-18.13,-23.68,-22.9,-21.65,-18.03,-22.48,-20.07,-22.69,-18.61,-19.28,0.1,0,-0.05,13778,14421,14005,14055,13743,13523,13301,12478,11786,10846,9936,9632,9091,8749,8548
23879,A7_2_tank7,A7_2,8/12/20,0:50:52,0.23,0,0.08,-15.39,-20.95,-21.74,-21.03,-30.05,-18,-23.57,-22.53,-21.41,-17.79,-22.39,-19.94,-22.63,-18.51,-19.32,0.09,0,-0.01,13960,14722,14342,14372,14245,13995,13794,13028,12212,11485,10719,10101,9682,9300,8908
23945,A7_2_tank15,A7_2,8/17/20,10:13:36,0.76,0,0.29,-15.63,-21.6,-22.34,-21.67,-30.55,-18.45,-24,-22.9,-21.78,-18.21,-22.52,-20.14,-22.9,-18.82,-19.59,0.07,0,-0.06,4385,4607,4529,4510,4367,4288,4199,3940,3683,3422,3071,2902,2619,2358,2055
23958,A7_2_tank16,A7_2,8/25/20,15:54:41,0.2,0,0.03,-15.81,-21.49,-22.26,-21.59,-30.55,-18.58,-24.22,-23.24,-22.09,-18.27,-22.63,-19.94,-22.48,-18.5,-19.15,0.065,0,-0.004,5755,5993,5787,5759,5476,5345,5134,4664,4241,3775,3200,2725,1972,1099,461
A7_2_VPDB,VPDB,A7_2,,,,,,-26.15,-31.88,-32.7,-31.99,-40.91,-28.83,-34.33,-33.37,-32.13,-28.46,-32.94,-30.49,-33.2,-29.1,-29.84,,,,,,,,,,,,,,,,,,
22776,A7_1_tank1,A7_1,6/18/19,22:35:50,-0.02,0,0.02,-13.93,-19.76,-20.67,-19.92,-28.8,-16.75,-22.24,-21.32,-19.98,-16.39,-20.8,-18.49,-21.11,-17.04,-17.66,0.05,0,-0.03,11863,12786,12315,12032,11617,11121,10849,10583,9851,9227,8679,8235,7940,7479,7224
22764,A7_1_tank2,A7_1,6/18/19,5:06:52,0.01,0,0.05,-13.67,-19.51,-20.19,-19.65,-28.61,-16.37,-21.97,-20.95,-19.67,-16.18,-20.75,-18.31,-20.95,-16.93,-17.65,0.04,0,-0.05,12036,12562,11950,11640,11220,10786,10507,10068,9599,8936,8289,7968,7578,7273,7076
22829,A7_1_tank3,A7_1,7/1/19,13:08:54,0.19,0,0.23,-14.04,-19.29,-20.16,-19.52,-27.99,-16.43,-21.8,-20.78,-19.6,-16.03,-20.59,-18.13,-20.9,-16.73,-17.47,0.08,0,-0.01,7327,11219,14814,17095,17977,17505,17150,16729,15497,14507,13301,13050,12362,11739,11144
22838,A7_1_tank4,A7_1,7/2/19,1:34:09,0.11,0,-0.02,-14.09,-19.57,-20.35,-19.58,-28.53,-16.39,-22.21,-21.23,-20.02,-16.42,-20.88,-18.5,-21.19,-17.21,-17.81,0.04,0,-0.03,12838,16257,17105,17029,16639,16064,15481,15321,14386,13421,12380,11754,11324,10713,10407
