sample_name,cave,tn_pct,toc_pct,d15N_tn,d13C_toc,toc_mg,tn_mg,sample_color,sample_class,sample_class2,sample_location,field_season,sample_date,extraction_date,sample_g,tle_g,drip_doc_ppm_1,drip_doc_ppm_2,drip_doc_ppm_sd,drip_doc_ppm_avg,drip_doc_d13C_1,drip_doc_d13C_2,drip_doc_d13C_sd,drip_doc_d13C_avg,drip_dic_mM,drip_dic_d13C,sample_description
B090-20180731-A-01,B090,0.018605745,0.184092344,NA,-29.92,NA,NA,white,cave biofilm,white biofilm,cave,2018,7/31/18,12-Dec-18,21.2891,0.0012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,White microbial biofilm
B090-20180731-B-01,B090,0.044011205,0.31586415,NA,-31.3,NA,NA,mixed,cave biofilm,mixed biofilm,cave,2018,7/31/18,12-Dec-18,18.3448,0.0027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yellow-white microbial biofilm
B090-20180731-C-06,B090,NA,NA,NA,NA,NA,NA,white,mineral,mineral,cave,2018,7/31/18,10-Dec-18,11.0311,0.0021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,White cauliflower
B090-20180731-D-05,B090,NA,NA,NA,NA,NA,NA,white,polyp/coralloid,polyp/coralloid,cave,2018,7/31/18,10-Dec-18,16.0258,0.0016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Floor polyps (white)
B090-20190804-B-01,B090,3.17234,25.76253,-11.64097,-26.80058,-3.70980432,-0.45681696,tan,ooze,ooze,cave,2019,8/4/19,9-Jul-20,0.08198,0.01198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tan ooze
B090-20190804-F-07,B090,0.02977,0.65314,3.48985,-24.59801,0.8915361,0.04063605,NA,polyp/coralloid,polyp/coralloid,cave,2019,8/4/19,15-Jun-20,2.4108,2.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Coralloid
B090-20190804-G-01,B090,0.02889,2.33506,2.92073,-26.03492,5.2655603,0.06514695,tan,surface soil,surface soil,surface,2019,8/4/19,9-Jun-20,21.5871,0.0066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Surface soil
B140-20180802-A-03,B140,0.153389794,1.110170002,2.227815948,-26.92951697,NA,NA,white,mineral,mineral,cave,2018,8/2/18,29-Nov-18,5.4856,0.0022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ceiling shrubs
B140-20180802-B-01,B140,0.152902007,1.104063029,11.72405013,-23.80688343,NA,NA,white,polyp/coralloid,polyp/coralloid,cave,2018,8/2/18,6-Dec-18,3.0707,0.0013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,White floor polyps
B140-20180802-C-06,B140,0.00438006,0.075729543,NA,-26.09886488,NA,NA,black,mineral,mineral,cave,2018,8/2/18,10-Dec-18,22.8993,1.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Bare"" rock"
