ipl_class,sample_type,summed_yield_ug_g_tle,binned_mean_ug_g_tle,binned_sd_ug_g_tle
normal,polyp/coralloid,155379.04900392,145.07847712784314,3113.4556288028607
unsaturated,polyp/coralloid,116759.294677646,72.20735601586023,914.0432579265232
unsaturated,yellow biofilm,98105.68495573,141.56664495776334,667.2026509143126
branched,polyp/coralloid,82246.70160913,44.005725847581594,626.2270470820888
branched,yellow biofilm,78316.291150009,97.77314750313234,439.65273180212006
unsaturated,surface soil,65296.670175025,84.80087035717533,276.1445285902912
normal,surface soil,59366.442456864,116.40478913110589,445.4241392157165
unsaturated,white biofilm,50550.099930411,72.94386714345022,451.49469769598613
unsaturated,mixed biofilm,43736.9971763,189.33765011385282,882.0084499435083
branched,mixed biofilm,40134.664377775,150.31709504784644,744.4475380100038
branched,surface soil,35066.883930158,39.400993179952806,115.82450804492358
branched,white biofilm,33179.082775583,41.42207587463545,302.4105511745907
branched,tan biofilm,28282.41540001,45.3971354735313,179.98520690851126
unsaturated,ooze,27778.276994356,45.09460551031818,275.2194704855998
unsaturated,mineral,26124.617695206,18.848930516021646,156.73746742781995
branched,mineral,24362.371313254,15.20747272987141,92.22627588583386
unsaturated,tan biofilm,18765.7304285,34.815826397959185,189.17331158093882
normal,yellow biofilm,17753.023454964,38.67761101299347,191.9055399113752
branched,ooze,10697.940410243,15.025197205397472,48.6232316706311
normal,white biofilm,10391.298453729,22.638994452568628,155.97696415565346
normal,ooze,10144.149832285,24.86311233403186,116.40137439873423
normal,mixed biofilm,8103.6699483580005,52.9651630611634,278.5958050332139
normal,mineral,6789.848070545,7.396348660724401,49.396732495692774
unsaturated,cave soil,6569.079003626,21.3281785832013,148.4105668494716
diacid,surface soil,5849.005816196,15.808123827556757,64.72537747323702
cyclic,polyp/coralloid,5474.83810549,52.14131529038095,244.0746151671513
normal,cave soil,4440.9611926180005,21.769417610872548,73.5404214678563
cyclic,yellow biofilm,4043.350832049,89.8522407122,182.8635000999718
cyclic,surface soil,3830.405694396,76.60811388792,145.9212622372734
normal,tan biofilm,2990.723712049,8.37737734467507,40.901197866838984
alkanone,polyp/coralloid,2324.2989554709998,36.89363421382539,181.47693634927595
cyclic,white biofilm,2176.020280789,48.35600623975556,134.31566047134703
cyclic,ooze,1800.348788386,45.00871970965,101.6546621970425
branched,cave soil,1730.766627128,4.861704008786517,9.878192370842536
sterol,surface soil,1337.53937861,14.861548651222222,52.35672972238838
cyclic,mineral,1316.752665552,14.6305851728,33.39242855213577
diacid,cave soil,1187.815692057,8.025781703087837,26.93034377851029
cyclic,mixed biofilm,827.44867885,55.16324525666666,86.91574013826309
cyclic,tan biofilm,750.663117937,21.447517655342857,50.9024272869642
diacid,polyp/coralloid,493.350680794,0.6349429611248392,10.458612246209846
cyclic,cave soil,433.37899064,21.668949532,36.74907065424774
diacid,ooze,278.150877285,0.9396989097466216,7.807819845074867
alkanone,tan biofilm,248.79582181,11.847420086190477,41.68041665934365
sterol,ooze,166.4871502,2.312321530555556,19.62069881447388
alkanone,ooze,147.457423211,6.144059300458332,28.684346488317004
diacid,white biofilm,131.56686487000002,0.3950956903003003,5.196829899031292
other,white biofilm,129.0877976,0.8437110954248366,8.496914842707904
other,mineral,105.756331976,0.3456089280261438,4.034298261951982
diacid,mineral,98.169795585,0.14740209547297298,2.291405608617486
diacid,yellow biofilm,88.415423494,0.26551178226426425,3.2996001313644183
other,mixed biofilm,76.9051172,1.5079434745098041,10.768870397499995
alkanone,mineral,57.885126191,1.0719467813148147,6.156359897498623
other,polyp/coralloid,50.35036229,0.1410374293837535,1.559952637241849
other,cave soil,44.767845574,0.6583506702058823,2.329973356517533
other,surface soil,43.803917128,0.25767010075294117,2.2011955307648643
sterol,cave soil,39.563204752,1.0989779097777779,4.167510730660321
diacid,mixed biofilm,15.43253428,0.13903184036036037,1.4647913306586535
other,yellow biofilm,7.356476038,0.048081542732026146,0.5947358379803789
