sample_fraction_coded,n-C14:0,i-C15:0,C16:1 w7 (trans),i-C16:0,C16:1 w7 (cis),n-C16:0,10_14_DiMe_C17,C17:1 w8 (trans),i-C17:0,ai-C17:0,i-C18:0,ai-C18:0,C18:1 w7,ai-C15:0,C16:1 w5,C18:2_2,n-C18:0,n-C20:0,n-C22:0,n-C24:0,n-C12:0,C18:2_1,C18:1_1,C18:1 w9,C16-diacid,C22-diacid,n-C26:0,C17:1 w8 (cis),m-C18:0_2,n-C15:0,n-C21:0,m-C16:0_1,C19:1_2,C20:1_1,m-C23:0-C2,C18-diacid,n-C23:0,C20-diacid,n-C25:0,m-C15:0_1,diacid_unknown7
L480-20171108-D-51-P2,0.43647357785851154,0.6783503212861782,0.7052033315965549,0.7707386522982731,0.6214998031755485,0.399288647224254,0.7199026095452649,0.6933989878448745,0.7291364513806173,0.6314823348894429,0.8182055905978419,0.6428374647139983,-0.059134165407072094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L480-20171108-D-61-P2,NA,NA,0.6850885301930572,0.6690915231215411,0.5395931304630431,NA,NA,0.6522460008543441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L480-20171108-D-80-P2,NA,NA,0.6868604295722733,0.6666458028516368,0.5645993724063488,0.33395297715681355,0.6097453720824373,0.6333041469272289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L480-20171113-E-03-P2,0.2975916053889525,-0.03724746462435799,0.14396543357797087,0.09664823325411065,0.3496505082769127,0.14887683918120745,NA,NA,NA,NA,NA,NA,-0.0738583996850666,-0.1017096631668325,0.09891426795316478,0.012945288561646071,0.051222722690033064,0.031532178884375914,0.06437470822308916,0.14428487459281578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L780-20171109-A-36-P2,NA,NA,NA,NA,0.6161341923793299,0.23395296571287447,NA,0.506725644795045,NA,NA,NA,NA,0.22781370870882908,NA,NA,NA,-0.3501249648671004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L300-20171027-B-20-P2,NA,NA,NA,NA,NA,-0.007075262519111546,NA,NA,NA,NA,NA,NA,0.06317680441742189,NA,NA,0.056378226150003374,0.05593946892484815,NA,NA,NA,0.057611542986925626,0.03071330856356233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L300-20171111-C-48-P4,NA,NA,0.8300348906788074,0.7803717954021814,0.5412652045251204,0.02581717947817132,0.8524207180472161,0.717232282311798,NA,NA,0.8716121352671781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B090-20180731-A-01-P2,0.19313575054647403,NA,NA,NA,0.3986920554278869,0.2728453839607029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B090-20180731-B-01-P2,NA,NA,0.6417900049715677,0.6582729358266513,0.4318096005508303,0.32972666375201753,0.6223492475673364,0.5799790142650061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L490-20180729-B-01-P2,0.47728934381508603,0.7512801484276495,0.7550216726094785,0.7939031874179417,0.5471901165364124,0.32282506847067133,0.7411173597716015,0.7464009986499947,NA,NA,0.9010422379759824,NA,1.6916892553826553e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
