sample_fraction_coded,sample_type,i-C15:0,C16:1 w7 (trans),i-C16:0,C16:1 w7 (cis),n-C16:0,10_14_DiMe_C17,C17:1 w8 (trans),n-C14:0,C18:1 w7,i-C18:0,C18:1 w9,i-C17:0,C18:2_2,n-C15:0,C18:2_1,n-C18:0,n-C22:0,n-C24:0,n-C12:0,C16:1 w5,ai-C17:0,ai-C18:0,m-C18:0_2,C16-diacid,n-C20:0,m-C23:0-C2,ai-C15:0,C17:1 w8 (cis),n-C21:0,n-C23:0,C19:1_3,C22-diacid,n-C26:0
L480-20171108-D-51-P2,yellow biofilm,-43.1 ± 0.12,-43.62 ± 0.1,-44.85 ± 0.13,-42.04 ± 0.23,-37.86 ± 0.18,-43.91 ± 0.25,-43.41 ± 0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L300-20171111-C-48-P2,yellow biofilm,NA,NA,NA,-40.53 ± 0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L490-20180729-B-01-P2,yellow biofilm,-44.46 ± 0.06,-44.56 ± 0.13,-45.29 ± 0.19,-40.64 ± 0.15,NA,-44.31 ± 0.08,-44.41 ± 0.19,-39.32 ± 0.1,-30.29 ± 0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L490-20180729-G-11-P2,yellow biofilm,-43.25 ± 0.2,-44.88 ± 0.12,-45.42 ± 0.09,-40.92 ± 0.13,-36.27 ± 0.1,-44.55 ± 0.14,-44.36 ± 0.22,NA,-30.17 ± 0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L820-20180802-B-03-P2,yellow biofilm,NA,-42.75 ± 0.16,-43.59 ± 0.05,-41.13 ± 0.15,NA,-42.55 ± 0.19,-43.08 ± 0.07,-38.42 ± 0.06,NA,-44.91 ± 0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L480-20190805-A-11-P2,yellow biofilm,NA,-42.52 ± 0.16,-42.42 ± 0.28,-40.96 ± 0.13,NA,-43.95 ± 0.13,NA,NA,-29.15 ± 0.1,-43.12 ± 0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L780-20190802-A-02-P2,yellow biofilm,NA,NA,-43.5 ± 0.25,NA,-30.28 ± 0.27,-42.51 ± 0.22,-39.25 ± 0.06,NA,NA,NA,-28.27 ± 0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V460-20190804-C-03-P2,yellow biofilm,NA,-43.26 ± 0.09,-42.03 ± 0.12,NA,-30.71 ± 0.21,-42.55 ± 0.15,-42.09 ± 0.1,NA,-34.8 ± 0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L480-20171108-D-80-P2,white biofilm,NA,NA,NA,-40.97 ± 0.17,NA,NA,-42.28 ± 0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B090-20180731-A-01-P2,white biofilm,NA,NA,NA,-37.85 ± 0.3,-35.48 ± 0.21,NA,NA,-34.02 ± 0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V460-20180731-F-04-P2,white biofilm,NA,-43.41 ± 0.14,NA,-39.18 ± 0.05,-31.01 ± 0.09,-41.38 ± 0.19,-42.37 ± 0.27,NA,-31.32 ± 0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180731-G-01-P2,white biofilm,NA,NA,NA,NA,NA,NA,NA,NA,-27.95 ± 0.12,NA,NA,-35.91 ± 0.1,-27.82 ± 0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180801-A-03-P2,white biofilm,NA,NA,NA,-38.56 ± 0.25,NA,NA,NA,NA,-28.46 ± 0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L300-20180802-A-02-P2,tan biofilm,-42.54 ± 0.07,-43.32 ± 0.15,-43.71 ± 0.15,NA,NA,-42.76 ± 0.2,-42.47 ± 0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L780-20190811-F-01-P2,surface soil,NA,-29.51 ± 0.11,-30 ± 0.07,-27.02 ± 0.22,-34.14 ± 0.2,NA,NA,-36.32 ± 0.1,-27.63 ± 0.08,NA,NA,NA,NA,-33.72 ± 0.18,-31.83 ± 0.23,-32.9 ± 0.23,-29.64 ± 0.1,-30.38 ± 0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L480-20190805-F-01-P2,surface soil,NA,NA,-30.3 ± 0.11,NA,NA,NA,NA,NA,-29.44 ± 0.24,NA,NA,-28.87 ± 0.1,NA,-24.74 ± 0.15,NA,NA,NA,-32.44 ± 0.25,-35.13 ± 0.28,-28.45 ± 0.25,-27.4 ± 0.11,-31.02 ± 0.11,-28.31 ± 0.2,-29.97 ± 0.25,-32.96 ± 0.14,-32.88 ± 0.12,NA,NA,NA,NA,NA,NA,NA
L820-20190808-E-01-P2,surface soil,-26.7 ± 0.26,NA,-30.13 ± 0.17,NA,-31.94 ± 0.09,NA,NA,NA,-28.46 ± 0.13,NA,-27.9 ± 0.13,NA,NA,NA,NA,NA,-31.78 ± 0.28,-32.95 ± 0.1,NA,-28.31 ± 0.15,NA,NA,NA,NA,-31.89 ± 0.13,NA,-26.05 ± 0.17,NA,NA,NA,NA,NA,NA
L480-20190811-E-01-P2,surface soil,-27.82 ± 0.22,-34.68 ± 0.27,-32.77 ± 0.21,NA,-30.67 ± 0.22,NA,NA,-32.54 ± 0.08,-29.31 ± 0.2,NA,-28.01 ± 0.14,-30.03 ± 0.14,NA,NA,-30.93 ± 0.1,NA,NA,-32.02 ± 0.24,NA,-30.26 ± 0.07,-27.72 ± 0.15,-39.03 ± 0.2,-28.71 ± 0.17,NA,NA,NA,NA,-31.03 ± 0.22,-30.32 ± 0.19,-32.02 ± 0.21,NA,NA,NA
B090-20190804-G-01-P2,surface soil,-27.05 ± 0.16,NA,NA,NA,-30.61 ± 0.11,NA,NA,-33.12 ± 0.18,NA,-30.23 ± 0.08,-29.47 ± 0.2,NA,NA,NA,NA,-29.75 ± 0.29,-31.93 ± 0.27,NA,NA,-27.5 ± 0.17,-26.86 ± 0.11,NA,-29.04 ± 0.2,-31.88 ± 0.29,-31.65 ± 0.18,NA,-26.04 ± 0.19,NA,NA,NA,-32.39 ± 0.18,NA,NA
L300-20190804-F-01-P2,surface soil,-28.65 ± 0.09,NA,-32.01 ± 0.24,-33.79 ± 0.21,-33.02 ± 0.1,NA,NA,NA,-29.93 ± 0.1,NA,-28.61 ± 0.29,NA,NA,NA,NA,-31.94 ± 0.27,-30.83 ± 0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30.89 ± 0.2,NA,NA,NA
L853-20190806-G-01-P2,surface soil,-27.83 ± 0.26,NA,-31.67 ± 0.2,-33.92 ± 0.27,-32.72 ± 0.18,NA,NA,-34.35 ± 0.07,-29.34 ± 0.15,NA,NA,-30.17 ± 0.27,NA,NA,-31.15 ± 0.1,NA,-31.25 ± 0.14,-32.04 ± 0.06,NA,-27.53 ± 0.18,NA,NA,NA,NA,-32.42 ± 0.16,NA,-26.39 ± 0.07,NA,NA,NA,-30.44 ± 0.23,NA,NA
V460-20190803-F-01-P2,surface soil,-28.81 ± 0.11,NA,-32.09 ± 0.16,NA,-32.23 ± 0.09,NA,NA,-35.13 ± 0.12,NA,NA,-29.76 ± 0.23,-33 ± 0.24,NA,NA,-31.08 ± 0.12,NA,NA,-29.29 ± 0.22,NA,NA,NA,-32.85 ± 0.09,NA,NA,-28.79 ± 0.11,NA,-26.93 ± 0.2,NA,NA,NA,NA,NA,NA
L780-20190805-E-07-P2,surface soil,NA,NA,NA,NA,-27.27 ± 0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28 ± 0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B140-20190808-C-02-P2,surface soil,-27.11 ± 0.07,NA,-29.15 ± 0.16,-33.45 ± 0.22,-31.08 ± 0.14,NA,NA,NA,-28.88 ± 0.27,NA,-28.01 ± 0.21,NA,NA,NA,-30.31 ± 0.26,-29.57 ± 0.09,-30.93 ± 0.09,-31.34 ± 0.13,NA,NA,-25.6 ± 0.08,NA,NA,-30.64 ± 0.25,NA,NA,-25.92 ± 0.19,-33.85 ± 0.29,NA,NA,-31.19 ± 0.27,NA,NA
L300-20171027-B-20-P2,polyp/coralloid,NA,NA,NA,NA,-30.21 ± 0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-31.35 ± 0.14,NA,NA,-31.57 ± 0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L490-20180729-C-08-P2,polyp/coralloid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.31 ± 0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V460-20180730-C-54-P2,polyp/coralloid,NA,NA,-39.76 ± 0.22,NA,-27.98 ± 0.24,NA,-40.94 ± 0.15,NA,NA,NA,NA,NA,-28.17 ± 0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V460-20180731-I-07-P2,polyp/coralloid,NA,NA,NA,NA,-34.98 ± 0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V460-20190810-A-32-P2,polyp/coralloid,NA,NA,-25.96 ± 0.11,-34.88 ± 0.28,-24.58 ± 0.11,NA,NA,NA,-25.1 ± 0.2,NA,-23.07 ± 0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B140-20190808-B-07-P2,polyp/coralloid,NA,-42.86 ± 0.21,-42.84 ± 0.25,NA,NA,-43.9 ± 0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L820-20190808-B-03-P2,ooze,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.66 ± 0.16,-32.3 ± 0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L490-20190807-B-05-P2,ooze,NA,NA,NA,NA,NA,NA,NA,NA,-31.58 ± 0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B090-20180731-B-01-P2,mixed biofilm,NA,-42.42 ± 0.11,NA,-38.47 ± 0.21,-36.55 ± 0.1,-42.07 ± 0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180801-F-01-P2,mixed biofilm,-43.56 ± 0.13,NA,NA,-41.44 ± 0.07,-39.21 ± 0.16,NA,NA,NA,-33.22 ± 0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180801-F-01-P3,mixed biofilm,NA,NA,NA,-41.34 ± 0.05,-39.1 ± 0.07,NA,NA,NA,-32.62 ± 0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L853-20180801-F-01-P4,mixed biofilm,NA,NA,NA,-40.72 ± 0.05,-38.76 ± 0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
