sample_fraction_coded,sample_class2,n-C14:0,i-C15:0,C16:1 w7 (trans),i-C16:0,C16:1 w7 (cis),n-C16:0,10_14_DiMe_C17,C17:1 w8 (trans),i-C17:0,ai-C17:0,i-C18:0,ai-C18:0,C18:1 w7,ai-C15:0,C16:1 w5,C18:2_2,n-C18:0,n-C20:0,n-C22:0,n-C24:0,n-C12:0,C18:2_1,C18:1_1,C18:1 w9,C16-diacid,C22-diacid,n-C26:0,C17:1 w8 (cis),m-C18:0_2,n-C15:0,n-C21:0,m-C16:0_1,C19:1_3,C20:1_1,m-C23:0-C2,C18-diacid,n-C23:0,C20-diacid,n-C25:0,m-C15:0_1,diacid_unknown7
L480-20171108-D-51-P2,yellow biofilm,0.4376806900364625,0.6643646924887779,0.6904607980042737,0.7521410998411853,0.611681006549209,0.4025410950656377,0.7051624790442933,0.6801312807717026,0.7138833296665705,0.6216544418693503,0.7990674153309965,0.6329291908094604,-0.03209656404208001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L480-20171108-D-61-P2,tan biofilm,NA,NA,0.6715292202127465,0.6564732135572019,0.5345923734080273,NA,NA,0.6412645708362015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L480-20171108-D-80-P2,white biofilm,NA,NA,0.6731968902167147,0.6541713591855275,0.5581276599429036,0.34104869970804663,0.6011250881071786,0.6233750421272594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L480-20171113-E-03-P2,cave soil,0.30805751573154094,-0.006508231802349583,0.16223689398678312,0.11770305838785562,0.3558228466446107,0.16685939337806432,NA,NA,NA,NA,NA,NA,-0.046045838621232696,-0.06694154293591942,0.1198357969281419,0.03618923445460051,0.07245206678675656,0.05167732562929962,0.0813401670189453,0.15669669003021428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L780-20171109-A-36-P2,mineral,NA,NA,NA,NA,0.6066310199174737,0.2469310418784571,NA,0.5038286790024189,NA,NA,NA,NA,0.23974879038351077,NA,NA,NA,-0.3077720582673698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L300-20171027-B-20-P2,polyp/coralloid,NA,NA,NA,NA,NA,0.020080944718940858,NA,NA,NA,NA,NA,NA,0.08377698631796696,NA,NA,0.07733622795936003,0.07692056321973924,NA,NA,NA,0.088147598182376,0.05302209550904741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L300-20171111-C-48-P2,yellow biofilm,NA,NA,0.8079493241993352,0.7612075874683928,0.5361660901723355,0.051038537186971655,0.8303184704072472,0.7026405033237968,NA,NA,0.8496630892282625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B090-20180731-A-01-P2,white biofilm,0.21056538454522752,NA,NA,NA,0.40197959690435114,0.2835356708175895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B090-20180731-B-01-P2,mixed biofilm,NA,NA,0.6307776670631093,0.646291013750247,0.4331490511377095,0.33707099297412113,0.613028748287361,0.5730124168351601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L490-20180729-B-01-P2,yellow biofilm,0.47577540492926546,0.7327364054339075,0.7373486483693785,0.7739430152479323,0.541742477947669,0.33057537388579533,0.7251986320358335,0.7301887354209825,NA,NA,0.8775442391629191,NA,0.02408554216776153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L490-20180729-C-08-P2,polyp/coralloid,NA,NA,NA,NA,NA,0.30749570166720175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.07492380968794146,NA,NA,NA,NA,NA,-0.1683767586335035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L490-20180729-G-11-P2,yellow biofilm,0.45531836865942926,0.6722052435226499,0.7533616580633098,0.7804862212892858,0.5553761399901995,0.3229376679247968,0.7372321827827961,0.7275384891255208,NA,NA,0.8483012738470475,NA,0.017954338956571544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V460-20180730-C-54-P2,polyp/coralloid,NA,NA,0.6408898945815659,0.4976055790141733,NA,-0.09130675818418668,NA,0.5564662845580863,NA,NA,NA,NA,NA,NA,NA,-0.08215363949203239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V460-20180731-E-01-P2,cave soil,0.3085562399415719,-0.05753417513342444,NA,0.2783962798905625,NA,0.11422129194386609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048706155062696856,-0.035085525822239554,-0.0627984431237154,0.07897043900827504,NA,NA,NA,-0.11961453309450716,0.0015796232054389845,-0.07391495772851558,0.07228500436032038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V460-20180731-F-04-P2,white biofilm,NA,NA,0.6799111960645484,0.6188333418530747,0.4686489180966185,0.05999595896842819,0.578551670353603,0.628309447648583,NA,NA,NA,NA,0.0756978191994598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V460-20180731-I-07-P2,polyp/coralloid,NA,NA,NA,NA,0.5075274587205173,0.2584097596187911,NA,0.4909264099540942,NA,NA,NA,NA,0.01903208952103856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
