sample_fraction_coded,sample_class2,n-C14:0,i-C15:0,C16:1 w7 (trans),i-C16:0,C16:1 w7 (cis),n-C16:0,10_14_DiMe_C17,C17:1 w8 (trans),i-C17:0,ai-C17:0,i-C18:0,ai-C18:0,C18:1 w7,ai-C15:0,C16:1 w5,C18:2_2,n-C18:0,n-C20:0,n-C22:0,n-C24:0,n-C12:0,C18:2_1,C18:1_1,C18:1 w9,C16-diacid,C22-diacid,n-C26:0,C17:1 w8 (cis),m-C18:0_2,n-C15:0,n-C21:0,m-C16:0_1,C19:1_3,C20:1_1,m-C23:0-C2,C18-diacid,n-C23:0,C20-diacid,n-C25:0,m-C15:0_1,diacid_unknown7
L480-20171108-D-51-P2,yellow biofilm,0.168338726937101,0.2555248817264531,0.2655618453862592,0.28928503840045594,0.23526192559584966,0.15482349810216836,0.271216338093959,0.26158895414296257,0.2745705114102195,0.23909786225744245,0.30733362128115255,0.24343430415748482,-0.012344832323876927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L480-20171108-D-61-P2,tan biofilm,NA,NA,0.25828046931259485,0.2524896975220008,0.2056124513107798,NA,NA,0.24664021955238521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L480-20171108-D-80-P2,white biofilm,NA,NA,0.2589218808525826,0.2516043689175106,0.2146644845934245,0.13117257681078717,0.2312019569642995,0.23975963158740748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L480-20171113-E-03-P2,cave soil,0.11848365989674654,-0.002503166077826763,0.06239880537953198,0.04527040707225217,0.136854941017158,0.06417668976079398,NA,NA,NA,NA,NA,NA,-0.01770993793124335,-0.025746747283045934,0.046090691126208436,0.013918936328692507,0.027866179533367914,0.01987589447280755,0.03128467962267127,0.06026795770392857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L780-20171109-A-36-P2,mineral,NA,NA,NA,NA,0.23331962304518225,0.09497347764556044,NA,0.1937802611547765,NA,NA,NA,NA,0.09221107322442723,NA,NA,NA,-0.11837386856437303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L300-20171027-B-20-P2,polyp/coralloid,NA,NA,NA,NA,NA,0.007723440276515716,NA,NA,NA,NA,NA,NA,0.03222191781460268,NA,NA,0.029744703061292323,0.029584832007592023,NA,NA,NA,0.033902922377836923,0.02039311365732593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L300-20171111-C-48-P2,yellow biofilm,NA,NA,0.3107497400766674,0.292772149026305,0.20621772698935986,0.019630206610373718,0.31935325784894125,0.2702463474322296,NA,NA,0.3267934958570241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B090-20180731-A-01-P2,white biofilm,0.08098668636354905,NA,NA,NA,0.15460753727090432,0.10905218108368829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B090-20180731-B-01-P2,mixed biofilm,NA,NA,0.24260679502427285,0.2485734668270181,0.16659578889911908,0.1296426896054312,0.23578028780283117,0.22038939109044625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L490-20180729-B-01-P2,yellow biofilm,0.18299054035740983,0.2818216943976568,0.2835956339882226,0.297670390479974,0.2083624915183343,0.12714437457145975,0.2789225507830129,0.2808418213157626,NA,NA,0.3375170150626613,NA,0.009263670064523666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
